nohup: ignoring input
--- THE SOVEREIGN (METABOLIC REGULATOR) ONLINE ---
[17:00:14][SOVEREIGN] Balance: 206.19 MISO | Status: SOLVENT
[17:00:28][SOVEREIGN] Balance: 206.12 MISO | Status: SOLVENT
[17:01:02][SOVEREIGN] Balance: 205.95 MISO | Status: SOLVENT
[17:01:16][SOVEREIGN] Balance: 205.88 MISO | Status: SOLVENT
[17:01:18][SOVEREIGN] Balance: 205.87 MISO | Status: SOLVENT
[17:01:36][SOVEREIGN] Balance: 205.78 MISO | Status: SOLVENT
[17:01:38][SOVEREIGN] Balance: 205.77 MISO | Status: SOLVENT
[17:01:50][SOVEREIGN] Balance: 205.71 MISO | Status: SOLVENT
[17:01:52][SOVEREIGN] Balance: 205.7 MISO | Status: SOLVENT
[17:02:08][SOVEREIGN] Balance: 205.62 MISO | Status: SOLVENT
[17:02:12][SOVEREIGN] Balance: 205.6 MISO | Status: SOLVENT
[17:02:18][SOVEREIGN] Balance: 205.57 MISO | Status: SOLVENT
[17:02:22][SOVEREIGN] Balance: 205.55 MISO | Status: SOLVENT
[17:02:24][SOVEREIGN] Balance: 205.54 MISO | Status: SOLVENT
[17:02:44][SOVEREIGN] Balance: 205.44 MISO | Status: SOLVENT
[17:03:05][SOVEREIGN] Balance: 205.34 MISO | Status: SOLVENT
[17:03:15][SOVEREIGN] Balance: 205.29 MISO | Status: SOLVENT
[17:03:35][SOVEREIGN] Balance: 205.19 MISO | Status: SOLVENT
[17:03:41][SOVEREIGN] Balance: 205.16 MISO | Status: SOLVENT
[17:04:05][SOVEREIGN] Balance: 205.04 MISO | Status: SOLVENT
[17:04:07][SOVEREIGN] Balance: 205.03 MISO | Status: SOLVENT
[17:04:13][SOVEREIGN] Balance: 205.0 MISO | Status: SOLVENT
[17:04:15][SOVEREIGN] Balance: 204.99 MISO | Status: SOLVENT
[17:04:47][SOVEREIGN] Balance: 204.83 MISO | Status: SOLVENT
[17:05:13][SOVEREIGN] Balance: 204.7 MISO | Status: SOLVENT
[17:05:21][SOVEREIGN] Balance: 204.66 MISO | Status: SOLVENT
[17:05:31][SOVEREIGN] Balance: 204.61 MISO | Status: SOLVENT
[17:05:47][SOVEREIGN] Balance: 204.53 MISO | Status: SOLVENT
[17:05:57][SOVEREIGN] Balance: 204.48 MISO | Status: SOLVENT
[17:06:05][SOVEREIGN] Balance: 204.44 MISO | Status: SOLVENT
[17:06:13][SOVEREIGN] Balance: 204.4 MISO | Status: SOLVENT
[17:06:15][SOVEREIGN] Balance: 204.39 MISO | Status: SOLVENT
[17:06:31][SOVEREIGN] Balance: 204.31 MISO | Status: SOLVENT
[17:06:33][SOVEREIGN] Balance: 204.3 MISO | Status: SOLVENT
[17:06:37][SOVEREIGN] Balance: 204.28 MISO | Status: SOLVENT
[17:06:39][SOVEREIGN] Balance: 204.27 MISO | Status: SOLVENT
[17:06:45][SOVEREIGN] Balance: 204.24 MISO | Status: SOLVENT
[17:06:47][SOVEREIGN] Balance: 204.23 MISO | Status: SOLVENT
[17:07:05][SOVEREIGN] Balance: 204.14 MISO | Status: SOLVENT
[17:07:07][SOVEREIGN] Balance: 204.13 MISO | Status: SOLVENT
[17:07:17][SOVEREIGN] Balance: 204.08 MISO | Status: SOLVENT
[17:07:21][SOVEREIGN] Balance: 204.06 MISO | Status: SOLVENT
[17:07:23][SOVEREIGN] Balance: 204.05 MISO | Status: SOLVENT
[17:07:29][SOVEREIGN] Balance: 204.02 MISO | Status: SOLVENT
[17:07:39][SOVEREIGN] Balance: 203.97 MISO | Status: SOLVENT
[17:07:49][SOVEREIGN] Balance: 203.92 MISO | Status: SOLVENT
[17:07:55][SOVEREIGN] Balance: 203.89 MISO | Status: SOLVENT
[17:08:07][SOVEREIGN] Balance: 203.83 MISO | Status: SOLVENT
[17:08:15][SOVEREIGN] Balance: 203.79 MISO | Status: SOLVENT
[17:08:21][SOVEREIGN] Balance: 203.76 MISO | Status: SOLVENT
[17:08:45][SOVEREIGN] Balance: 203.64 MISO | Status: SOLVENT
[17:08:47][SOVEREIGN] Balance: 203.63 MISO | Status: SOLVENT
[17:08:57][SOVEREIGN] Balance: 203.58 MISO | Status: SOLVENT
[17:09:01][SOVEREIGN] Balance: 203.56 MISO | Status: SOLVENT
[17:09:03][SOVEREIGN] Balance: 203.55 MISO | Status: SOLVENT
[17:09:07][SOVEREIGN] Balance: 203.53 MISO | Status: SOLVENT
[17:09:17][SOVEREIGN] Balance: 203.48 MISO | Status: SOLVENT
[17:09:19][SOVEREIGN] Balance: 203.47 MISO | Status: SOLVENT
[17:09:23][SOVEREIGN] Balance: 203.45 MISO | Status: SOLVENT
[17:09:31][SOVEREIGN] Balance: 203.41 MISO | Status: SOLVENT
[17:09:53][SOVEREIGN] Balance: 203.3 MISO | Status: SOLVENT
[17:09:59][SOVEREIGN] Balance: 203.27 MISO | Status: SOLVENT
[17:10:13][SOVEREIGN] Balance: 203.2 MISO | Status: SOLVENT
[17:10:21][SOVEREIGN] Balance: 203.16 MISO | Status: SOLVENT
[17:10:25][SOVEREIGN] Balance: 203.14 MISO | Status: SOLVENT
[17:10:53][SOVEREIGN] Balance: 203.0 MISO | Status: SOLVENT
[17:11:23][SOVEREIGN] Balance: 202.85 MISO | Status: SOLVENT
[17:11:35][SOVEREIGN] Balance: 202.79 MISO | Status: SOLVENT
[17:11:39][SOVEREIGN] Balance: 202.77 MISO | Status: SOLVENT
[17:11:45][SOVEREIGN] Balance: 202.74 MISO | Status: SOLVENT
[17:12:19][SOVEREIGN] Balance: 202.57 MISO | Status: SOLVENT
[17:12:23][SOVEREIGN] Balance: 202.55 MISO | Status: SOLVENT
[17:12:35][SOVEREIGN] Balance: 99.98 MISO | Status: SOLVENT
[17:12:45][SOVEREIGN] Balance: 99.93 MISO | Status: SOLVENT
[17:12:47][SOVEREIGN] Balance: 99.92 MISO | Status: SOLVENT
[17:12:55][SOVEREIGN] Balance: 99.88 MISO | Status: SOLVENT
[17:13:05][SOVEREIGN] Balance: 99.83 MISO | Status: SOLVENT
[17:13:09][SOVEREIGN] Balance: 99.81 MISO | Status: SOLVENT
[17:13:13][SOVEREIGN] Balance: 99.79 MISO | Status: SOLVENT
[17:13:25][SOVEREIGN] Balance: 99.73 MISO | Status: SOLVENT
[17:13:29][SOVEREIGN] Balance: 99.71 MISO | Status: SOLVENT
[17:13:31][SOVEREIGN] Balance: 99.7 MISO | Status: SOLVENT
[17:13:36][SOVEREIGN] Balance: 99.68 MISO | Status: SOLVENT
[17:13:48][SOVEREIGN] Balance: 99.62 MISO | Status: SOLVENT
[17:13:52][SOVEREIGN] Balance: 99.6 MISO | Status: SOLVENT
[17:14:00][SOVEREIGN] Balance: 99.56 MISO | Status: SOLVENT
[17:14:04][SOVEREIGN] Balance: 99.54 MISO | Status: SOLVENT
[17:14:06][SOVEREIGN] Balance: 99.53 MISO | Status: SOLVENT
